County,Republican,Democrat,Nonpartisan,Libertarian,Year
Adams,10282,5944,2789,3,2008
Antelope,3012,1238,490,1,2008
Arthur,265,66,11,0,2008
Banner,442,62,46,0,2008
Blaine,290,74,25,0,2008
Boone,2475,1203,385,0,2008
Box Butte,4291,2485,1190,2,2008
Boyd,1040,395,126,0,2008
Brown,1731,408,218,0,2008
Buffalo,16287,7381,4359,16,2008
Burt,2670,1841,807,2,2008
Butler,3200,2278,934,2,2008
Cass,8416,5648,3524,5,2008
Cedar,2947,2472,839,0,2008
Chase,1811,594,245,1,2008
Cherry,2958,825,391,0,2008
Cheyenne,4225,1659,1199,6,2008
Clay,2881,1170,567,0,2008
Colfax,2606,2153,600,0,2008
Cuming,3782,1608,737,0,2008
Custer,5503,2010,963,3,2008
Dakota,3634,4433,2251,3,2008
Dawes,3543,1483,976,6,2008
Dawson,7587,3788,2086,2,2008
Deuel,1025,218,185,0,2008
Dixon,1971,1361,619,0,2008
Dodge,10841,7362,3592,5,2008
Douglas,123315,127420,60903,186,2008
Dundy,1020,262,116,0,2008
Fillmore,2377,1315,534,1,2008
Franklin,1411,659,326,0,2008
Frontier,1357,407,219,1,2008
Furnas,2236,835,436,1,2008
Gage,7946,5558,2741,1,2008
Garden,1189,281,146,0,2008
Garfield,971,264,100,0,2008
Gosper,1016,328,161,0,2008
Grant,382,70,34,0,2008
Greeley,628,1029,134,0,2008
Hall,16226,10183,5570,7,2008
Hamilton,4228,1640,866,1,2008
Harlan,1542,718,291,0,2008
Hayes,605,124,75,0,2008
Hitchcock,1167,542,261,0,2008
Holt,5021,1590,653,2,2008
Hooker,470,95,48,0,2008
Howard,2291,1711,529,0,2008
Jefferson,2949,1831,883,1,2008
Johnson,1581,1115,352,0,2008
Kearney,2863,1150,595,2,2008
Keith,3991,1465,1007,2,2008
Keya Paha,585,99,23,0,2008
Kimball,1954,636,410,0,2008
Knox,3060,2133,751,2,2008
Lancaster,75793,68661,32901,103,2008
Lincoln,12510,7598,3340,8,2008
Logan,424,99,45,0,2008
Loup,411,78,30,0,2008
Madison,12766,5672,3267,5,2008
McPherson,289,77,14,0,2008
Merrick,3147,1482,734,1,2008
Morrill,2209,823,497,4,2008
Nance,1268,1022,281,0,2008
Nemaha,2781,1710,733,0,2008
Nuckolls,1819,1163,347,2,2008
Otoe,5482,3462,1907,3,2008
Pawnee,1067,659,217,0,2008
